Peso,Altura,Pie,Hombros,Brazos,Caderas,Ojos,Sexo
60,163,37,41,68,95,1,1
52,166,37,37,70,87,2,1
61,172,39,39,69,91,2,1
73,181,43,50,78,101,2,2
53,172,39,39,72,89,1,1
63,169,40,37,66,96,2,1
55,170,38,43,74,97,2,1
56,169,42,40,70,90,2,2
64,180,41,41,78,101,1,1
72,178,43,43,80,97,1,2
50,166,37,33,72,83,1,1
59,170,37,42,69,93,2,1
70,185,42,53,79,94,2,2
56,165,40,41,73,90,2,1
55,163,37,40,65,90,2,1
58,167,37,37,70,88,2,1
61,171,39,37,72,96,2,1
69,176,43,43,76,94,2,2
70,172,41,43,71,96,2,2
80,182,42,43,72,110,2,2
58,171,38,40,74,95,2,1
46,158,36,37,67,90,2,1
66,159,37,45,66,103,2,1
70,166,38,43,70,100,2,1
53,162,36,39,67,93,2,1
64,172,41,44,75,97,2,2
95,187,47,47,77,110,2,2
69,180,44,40,74,99,2,2
78,185,41,40,77,105,2,2
58,180,40,34,78,91,1,1
79,179,42,45,70,100,2,2
60,160,38,41,63,95,2,1
68,174,41,53,75,97,2,2
58,164,38,40,71,96,2,1
60,155,36,38,66,103,1,1
50,165,38,38,68,90,2,1
48,153,36,35,65,90,2,1
75,183,47,48,76,99,2,2
67,179,39,46,74,97,2,2
55,168,38,37,72,95,1,1
62,174,39,40,75,100,2,1
52,166,38,40,64,92,2,1
55,161,38,35,66,90,2,1
52,164,38,36,70,87,2,1
48,160,37,38,64,88,2,1
68,174,43,44,72,93,2,2
51,163,38,40,67,92,1,1
40,151,36,44,65,84,2,1
58,165,39,36,66,88,2,1
62,167,39,38,69,97,2,1
57,162,38,40,66,92,1,1
48,162,37,41,67,87,1,1
64,150,36,45,69,95,2,1
79,173,41,41,74,110,2,1
68,167,39,40,70,113,1,1
65,164,38,39,68,106,1,1
68,182,41,40,77,108,1,1
65,170,38,41,74,103,1,1
80,182,42,50,78,109,2,2
67,169,39,38,70,100,2,1
57,169,39,39,76,87,2,1
58,156,35,40,67,82,2,1
72,182,42,42,77,97,2,1
56,164,39,40,72,86,2,1
80,175,42,47,73,106,2,2
46,156,35,35,65,90,2,1
53,163,37,36,69,88,2,1
60,176,40,38,71,90,2,1
85,175,42,47,78,108,1,2
65,170,39,38,72,102,2,1
76,185,47,46,75,105,2,2
84,186,47,51,75,104,2,2
49,158,36,32,70,84,2,1
71,188,45,49,81,96,2,2
74,172,41,35,70,111,2,1
65,178,42,46,75,98,2,2
60,160,38,37,68,94,2,1
54,161,38,32,69,98,1,1
70,171,42,44,71,97,2,2
60,170,41,33,70,95,2,1
78,173,42,45,71,106,1,2
60,165,38,35,71,73,2,1
60,171,42,43,75,90,2,2
81,188,44,45,74,98,2,2
72,176,42,45,75,85,2,2
72,177,42,45,76,82,2,2
58,160,39,39,71,92,2,1
63,172,40,42,73,104,2,1
59,167,39,36,68,100,2,1
71,171,42,45,74,90,2,2
69,170,41,45,74,90,2,2
56,160,35,32,65,84,2,1
74,160,39,42,70,99,2,1
50,162,37,35,69,87,2,1
58,172,38,35,71,90,2,1
53,170,37,40,72,89,2,1
63,178,42,46,86,90,2,2
75,162,37,44,73,107,2,1
